ID,Category,_0,_1,_2,_3,_4,_5,_6,_7
2A_11_0-1,Banane,eine Afe wil eine banane,der man aber stelt die,banane ont der afe wil,ombedink die banane & ont,er hat nich ein Schöne,Keneke nur ein bam ont,der afe,
2A_11_2-3,Karotte (Schneemann),der himek ist scheun,ont der dieb hate ein,Schneman ge macht ont,dae hasen & haben eine,rube be gomen der man,,,
2A_11_4-5,Kartenhaus,der man hat ein,torm mit Karte kemacht,der man rent zom,fenster wo die forhange,im & wint bewekt der,man ist ein dieb er,hat sachen ge stolen.,
2A_11_6-7,Teig,Der man macht ein,Kuchen. Aber das Telefon,lutet. Er rolt den teik,aus. der Hund & schaut zu.,der Kugen siet fein aus.,Der man get zum teleron.,,
2A_11_8-9,Hund und Katz,Eine kaze ond ein Hond,schtreiten aber man komt zom,Schauen was los ist. Er & hat ein,blaues Haus. Die Tür ist Rod. ,,,,
2A_11_10-11,Wäscheleine,Einen Hond hat der man.,Der Man will die wesche,an die WaschLein hengen. & Aber,onein einen Fogel macht,die WaschLein kapot. ,,,
2A_11_12-13,Schafherde,Das Haus ist rot. Der Man,vart aur einen blauen Welo.,Der andere Man hat mega,viele & schare. Der Man aur,dem welo hat hinten in,den,,
2A_11_14-15,Ziegenbock,Eine zige rend dem,Man hintenher.,&,der Man,Der Man rend der,hang hienap so sch,nel als er kan.,
2A_11_16-17,Schneemann,Es hat Schnee. Der kleiner,man hat einen schneeman ge,"baut, darum komt der andere",man nicht meer raus. Es hat,eine ur. & Das renster ist,blau. Das Haus ist rot. Das iel,efon ist gelb. Und der man,in der
2A_11_18-19,Leuchtturm,Ein grosses blaues waser,sit man. Der leuchttarm Jeuchtet.,Man siet auch eine insel.,Ein Kreps & pakt den man,an den Oren und der man,sagt aaa aua und weint,fast un das so weetut.,
