ID,Category,_0,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10
2B_14_0-1,Banane,Es war ein Mal ein Kleiner Affe,der His PiPo der Kleine Affe PiPo,Hat eines Tages etwas & ander,es esen Alsn nur banane,,,,,,,
2B_14_2-3,Karotte (Schneemann),Es war ein Mal einen Schne,Man der Schmilzt ni eines,tages komen zwei Hasen,Ferbei und klauen Seine &,Nase bal komt einen Klei,nen Mah der Holte eine,Nüie Nase Herfor.,,,,
2B_14_4-5,Kartenhaus,Es war ein Mal einen Kleiner,Man der Hat e Fil spas Mit,Seinen Karten Weil er,imer Mitseinen Karten,einen turm baut & eines,tages ward er wintstos,so fest wie No ch Ni.,,,,
2B_14_6-7,Teig,Tim ist dabei einen Kuchen,zu baken. blüzlich leutdas,tele Fon und den Komt,der Hund in die & Küche und,der Hund frist der Teig,da komt Tim zurük,,,,,
2B_14_8-9,Hund und Katz,Eines Tages wo JaKob,mit seinem Hund spaz,iren get laufte der,Hund ein fach dafon &,Kurze Zeit speter set der,man das Sein Hund Otto,,,,,
2B_14_10-11,Wäscheleine,es war ein man der Hate,einen Kleinen Hund und,einen sonen Garten. und,eines Tages get der man &,in seinen Garten zum Seine,Sachen Auf zu Hengen. aber,ein Vogel Sas auf der Schnur,,,,
2B_14_12-13,Schafherde,Es war ein mal ein man der wolte,Nach hause gehon mit dem Farad,Aber auf dem weg laufte ein Hirt,mit Filen Schafen und er komte,nur langsam foran & Aber zum,glüg bigt der Hirt und seine Schafe,bald An einer Abzweigun Ap und,er kam schenl nach hause.,,,
2B_14_14-15,Ziegenbock,6 Menschen gehen eine Wan,derung machen. vo sie schon,lange gewandert sint. sagte,der kleinste. ich mun etwan im,Wald machen? was Fragten,die &  Anderen weiss ich selbst,nicht sagt er nach einer,weile hörten sie was,ein boltern und krachen,und sie gehen schauen,
2B_14_16-17,Schneemann,es war ein mal ein Mann,der wonte in einem kleinen,Haus am Statrand eines Tages,Wolte er mit seiner Tante,Telefoniren und ging ins,Telefon haus zum Telefoniren,dan komt ein & anderen Mann,der nicht sit ob in Telefon,haus ein Mann ist und baute,ein Schnemann for das,haus und der andere
2B_14_18-19,Leuchtturm,es War ein Mal ein,Kleinen Mann der wonte,in einem Kleinen,haus aber er Möchte lieber,ans meer da Steigt,er in einen Zug und farte,ans Meer Am Meer get,er in ein Hotel gerade &,am Meer da nach geter,an ein Strand da,gibtes file Muscheln.
